Province,Year,Infrastructure Type,Passenger Volume (in million)
Anhui,2021,Airport,16.47
Anhui,2020,Airport,15.61
Anhui,2019,Airport,24.70
Anhui,2018,Airport,22.87
Anhui,2017,Airport,20.62
Anhui,2016,Airport,18.26
Anhui,2015,Airport,16.32
Anhui,2014,Airport,14.63
Anhui,2013,Airport,13.21
Anhui,2012,Airport,11.90
Anhui,2011,Airport,10.93
Anhui,2010,Airport,9.95
Anhui,2009,Airport,8.57
Anhui,2008,Airport,7.15
Beijing,2021,Airport,15.58
Beijing,2020,Airport,14.77
Beijing,2019,Airport,23.38
Beijing,2018,Airport,21.64
Beijing,2017,Airport,19.52
Beijing,2016,Airport,17.29
Beijing,2015,Airport,15.44
Beijing,2014,Airport,13.85
Beijing,2013,Airport,12.50
Beijing,2012,Airport,11.26
Beijing,2011,Airport,10.34
Beijing,2010,Airport,9.42
Beijing,2009,Airport,8.11
Beijing,2008,Airport,6.77
Chongqing,2021,Airport,10.74
Chongqing,2020,Airport,10.18
Chongqing,2019,Airport,16.11
Chongqing,2018,Airport,14.92
Chongqing,2017,Airport,13.45
Chongqing,2016,Airport,11.91
Chongqing,2015,Airport,10.64
Chongqing,2014,Airport,9.55
Chongqing,2013,Airport,8.62
Chongqing,2012,Airport,7.76
Chongqing,2011,Airport,7.13
Chongqing,2010,Airport,6.49
Chongqing,2009,Airport,5.59
Chongqing,2008,Airport,4.66
Fujian,2021,Airport,19.06
Fujian,2020,Airport,18.06
Fujian,2019,Airport,28.59
Fujian,2018,Airport,26.46
Fujian,2017,Airport,23.87
Fujian,2016,Airport,21.14
Fujian,2015,Airport,18.88
Fujian,2014,Airport,16.94
Fujian,2013,Airport,15.29
Fujian,2012,Airport,13.77
Fujian,2011,Airport,12.65
Fujian,2010,Airport,11.52
Fujian,2009,Airport,9.92
Fujian,2008,Airport,8.27
Gansu,2021,Airport,3.99
Gansu,2020,Airport,3.78
Gansu,2019,Airport,5.98
Gansu,2018,Airport,5.54
Gansu,2017,Airport,4.99
Gansu,2016,Airport,4.42
Gansu,2015,Airport,3.95
Gansu,2014,Airport,3.54
Gansu,2013,Airport,3.20
Gansu,2012,Airport,2.88
Gansu,2011,Airport,2.65
Gansu,2010,Airport,2.41
Gansu,2009,Airport,2.08
Gansu,2008,Airport,1.73
Guangdong,2021,Airport,48.04
Guangdong,2020,Airport,45.53
Guangdong,2019,Airport,72.06
Guangdong,2018,Airport,66.71
Guangdong,2017,Airport,60.16
Guangdong,2016,Airport,53.28
Guangdong,2015,Airport,47.61
Guangdong,2014,Airport,42.69
Guangdong,2013,Airport,38.54
Guangdong,2012,Airport,34.72
Guangdong,2011,Airport,31.88
Guangdong,2010,Airport,29.04
Guangdong,2009,Airport,25.00
Guangdong,2008,Airport,20.85
Guangxi,2021,Airport,9.67
Guangxi,2020,Airport,9.16
Guangxi,2019,Airport,14.50
Guangxi,2018,Airport,13.42
Guangxi,2017,Airport,12.10
Guangxi,2016,Airport,10.72
Guangxi,2015,Airport,9.58
Guangxi,2014,Airport,8.59
Guangxi,2013,Airport,7.75
Guangxi,2012,Airport,6.99
Guangxi,2011,Airport,6.41
Guangxi,2010,Airport,5.84
Guangxi,2009,Airport,5.03
Guangxi,2008,Airport,4.20
Guizhou,2021,Airport,7.54
Guizhou,2020,Airport,7.14
Guizhou,2019,Airport,11.31
Guizhou,2018,Airport,10.47
Guizhou,2017,Airport,9.44
Guizhou,2016,Airport,8.36
Guizhou,2015,Airport,7.47
Guizhou,2014,Airport,6.70
Guizhou,2013,Airport,6.05
Guizhou,2012,Airport,5.45
Guizhou,2011,Airport,5.00
Guizhou,2010,Airport,4.56
Guizhou,2009,Airport,3.92
Guizhou,2008,Airport,3.27
Hainan,2021,Airport,2.49
Hainan,2020,Airport,2.36
Hainan,2019,Airport,3.74
Hainan,2018,Airport,3.46
Hainan,2017,Airport,3.12
Hainan,2016,Airport,2.76
Hainan,2015,Airport,2.47
Hainan,2014,Airport,2.22
Hainan,2013,Airport,2.00
Hainan,2012,Airport,1.80
Hainan,2011,Airport,1.65
Hainan,2010,Airport,1.51
Hainan,2009,Airport,1.30
Hainan,2008,Airport,1.08
Hebei,2021,Airport,15.57
Hebei,2020,Airport,14.75
Hebei,2019,Airport,23.35
Hebei,2018,Airport,21.62
Hebei,2017,Airport,19.49
Hebei,2016,Airport,17.27
Hebei,2015,Airport,15.43
Hebei,2014,Airport,13.83
Hebei,2013,Airport,12.49
Hebei,2012,Airport,11.25
Hebei,2011,Airport,10.33
Hebei,2010,Airport,9.41
Hebei,2009,Airport,8.10
Hebei,2008,Airport,6.76
Heilongjiang,2021,Airport,5.83
Heilongjiang,2020,Airport,5.52
Heilongjiang,2019,Airport,8.74
Heilongjiang,2018,Airport,8.09
Heilongjiang,2017,Airport,7.30
Heilongjiang,2016,Airport,6.46
Heilongjiang,2015,Airport,5.77
Heilongjiang,2014,Airport,5.18
Heilongjiang,2013,Airport,4.68
Heilongjiang,2012,Airport,4.21
Heilongjiang,2011,Airport,3.87
Heilongjiang,2010,Airport,3.52
Heilongjiang,2009,Airport,3.03
Heilongjiang,2008,Airport,2.53
Henan,2021,Airport,22.42
Henan,2020,Airport,21.25
